matchId,tournament,date,map,team1,team2,winner,team1_rounds,team2_rounds,team1_first_half,team1_second_half,team2_first_half,team2_second_half,team1_opening_kills,team2_opening_kills,team1_clutches,team2_clutches,team1_most_kills_player,team1_most_kills,team2_most_kills_player,team2_most_kills,team1_most_assists_player,team1_most_assists,team2_most_assists_player,team2_most_assists,team1_most_deaths_player,team1_most_deaths,team2_most_deaths_player,team2_most_deaths,team1_most_damage_per_round_player,team1_most_damage_per_round,team2_most_damage_per_round_player,team2_most_damage_per_round,team2_least_kills_player,team2_least_kills,team1_least_assists_player,team1_least_assists,team2_least_assists_player,team2_least_assists,team1_least_deaths_player,team1_least_deaths,team2_least_deaths_player,team2_least_deaths,team1_least_damage_per_round_player,team1_least_damage_per_round,team2_least_damage_per_round_player,team2_least_damage_per_round,all_players,overall_most_kills_player,overall_most_kills,overall_most_kills_team,overall_most_damage_player,overall_most_damage,overall_most_damage_team,overall_most_assists_player,overall_most_assists,overall_most_assists_team,overall_most_awp_kills_player,overall_most_awp_kills,overall_most_awp_kills_team,overall_most_first_kills_player,overall_most_first_kills,overall_most_first_kills_team,overall_best_rating_2.0_player,overall_best_rating_2.0,overall_best_rating_2.0_team
82304,ECS Season 7 Europe Pinnacle Cup,2019-03-06 12:30,Dust2,Sprout,Windigo,Sprout,16,4,11,5,4,0,13,7,0,0,faveN,23,bubble,18,Spiidi,8,poizon,8,faveN,13,SHiPZ,19,faveN,120.5,bubble,103.5,blocker,4,faveN,2,SHiPZ,1,mirbit,7,bubble,17,syrsoN,76.8,blocker,27.4,mirbit?faveN?denis?syrsoN?Spiidi?bubble?poizon?SHiPZ?v1c7oR?blocker,faveN,23,Sprout,faveN,120.5,Sprout,poizon,6,Windigo,syrsoN,12,Sprout,mirbit,4,Sprout,mirbit,1.79,Sprout
82290,ECS Season 7 Europe Pinnacle Cup,2019-03-06 08:00,Train,Valiance,Windigo,Valiance,16,7,13,3,2,5,13,10,1,2,nexa,29,SHiPZ,19,LETN1,7,blocker,4,LETN1,15,SHiPZ,22,nexa,103,SHiPZ,80.7,blocker,8,ottoNd,3,v1c7oR,2,nexa,11,v1c7oR,17,LETN1,75.2,blocker,50.1,nexa?ottoNd?LETN1?huNter?EspiranTo?bubble?SHiPZ?v1c7oR?poizon?blocker,nexa,29,Valiance,nexa,103.0,Valiance,huNter,5,Valiance,ottoNd,9,Valiance,ottoNd,4,Valiance,nexa,1.88,Valiance
82285,ECS Season 7 Europe Pinnacle Cup,2019-03-06 08:00,Mirage,Valiance,Windigo,Valiance,16,3,12,4,3,0,13,6,1,0,huNter,22,SHiPZ,12,LETN1,6,bubble,3,huNter,11,poizon,17,huNter,127.2,SHiPZ,77.6,v1c7oR,4,nexa,2,SHiPZ,1,nexa,6,bubble,14,ottoNd,53,v1c7oR,43.8,nexa?huNter?EspiranTo?ottoNd?LETN1?SHiPZ?bubble?poizon?v1c7oR?blocker,huNter,22,Valiance,huNter,127.2,Valiance,LETN1,4,Valiance,ottoNd,5,Valiance,huNter,4,Valiance,nexa,1.91,Valiance
82280,ECS Season 7 Europe Pinnacle Cup,2019-03-06 08:00,Dust2,Valiance,Windigo,Windigo,14,16,11,3,4,12,15,15,1,4,huNter,33,poizon,29,ottoNd,8,bubble,6,EspiranTo,23,blocker,23,huNter,113.7,poizon,95.7,blocker,10,huNter,2,v1c7oR,3,huNter,15,poizon,20,EspiranTo,35.4,blocker,40.5,huNter?nexa?ottoNd?LETN1?EspiranTo?poizon?bubble?SHiPZ?v1c7oR?blocker,huNter,33,Valiance,huNter,113.7,Valiance,nexa,5,Valiance,poizon,17,Windigo,bubble,6,Windigo,huNter,1.69,Valiance
82263,LOOT.BET Season 1,2019-03-06 04:30,Mirage,Windigo,Winstrike,Winstrike,4,16,4,0,11,5,10,10,1,2,poizon,19,Boombl4,22,v1c7oR,6,WorldEdit,11,v1c7oR,19,Boombl4,12,poizon,86,Boombl4,110,wayLander,14,poizon,0,n0rb3r7,2,bubble,17,wayLander,8,bubble,41.7,wayLander,74.9,poizon?blocker?SHiPZ?bubble?v1c7oR?Boombl4?n0rb3r7?WorldEdit?wayLander?Kvik,Boombl4,22,Winstrike,Boombl4,110.0,Winstrike,v1c7oR,6,Windigo,poizon,9,Windigo,Boombl4,5,Winstrike,Boombl4,1.75,Winstrike
82231,ECS Season 7 Europe Pinnacle Cup,2019-03-05 11:05,Overpass,Heroic,Windigo,Windigo,13,16,7,6,8,8,14,15,3,1,blameF,29,bubble,32,blameF,11,v1c7oR,10,mertz,25,blocker,20,blameF,116.9,bubble,111.1,v1c7oR,9,es3tag,3,poizon,2,blameF,19,bubble,17,es3tag,45.8,v1c7oR,54.4,blameF?friberg?mertz?NEO?es3tag?bubble?poizon?blocker?SHiPZ?v1c7oR,bubble,32,Windigo,blameF,116.9,Heroic,v1c7oR,8,Windigo,poizon,11,Windigo,poizon,6,Windigo,bubble,1.58,Windigo
82229,ECS Season 7 Europe Pinnacle Cup,2019-03-05 11:05,Dust2,Heroic,Windigo,Heroic,16,11,6,10,9,2,15,12,3,2,blameF,26,SHiPZ,29,NEO,7,poizon,4,friberg,20,v1c7oR,23,friberg,97,SHiPZ,96,v1c7oR,9,blameF,4,SHiPZ,1,mertz,15,bubble,19,mertz,65.7,v1c7oR,40.3,friberg?blameF?es3tag?mertz?NEO?SHiPZ?poizon?blocker?bubble?v1c7oR,SHiPZ,29,Windigo,friberg,97.0,Heroic,friberg,5,Heroic,poizon,13,Windigo,friberg,5,Heroic,SHiPZ,1.39,Windigo
82224,ECS Season 7 Europe Pinnacle Cup,2019-03-05 11:05,Mirage,Heroic,Windigo,Windigo,14,16,11,3,4,12,15,15,1,2,blameF,30,blocker,24,blameF,8,v1c7oR,8,es3tag,23,bubble,23,blameF,120.5,blocker,87.9,bubble,14,friberg,0,SHiPZ,2,blameF,17,poizon,17,es3tag,43.5,bubble,52.6,blameF?mertz?NEO?friberg?es3tag?blocker?SHiPZ?poizon?v1c7oR?bubble,blameF,30,Heroic,blameF,120.5,Heroic,v1c7oR,8,Windigo,poizon,11,Windigo,blocker,9,Windigo,blameF,1.71,Heroic
82209,LOOT.BET Season 1,2019-03-05 08:00,Dust2,Windigo,NoChance,NoChance,8,16,5,3,10,6,10,14,1,2,v1c7oR,17,nukkye,28,bubble,8,nukkye,4,blocker,22,nukkye,16,bubble,81.6,nukkye,123,kRYSTAL,10,SHiPZ,0,Maikelele,3,v1c7oR,18,Maikelele,13,blocker,39.5,kRYSTAL,57,bubble?v1c7oR?poizon?SHiPZ?blocker?nukkye?Maikelele?zehN?frozen?kRYSTAL,nukkye,28,NoChance,nukkye,123.0,NoChance,bubble,6,Windigo,Maikelele,18,NoChance,Maikelele,6,NoChance,nukkye,1.68,NoChance
82136,LOOT.BET Season 1,2019-03-03 01:00,Overpass,Windigo,pro100,Windigo,16,2,13,3,2,0,12,6,1,0,blocker,18,YEKINDAR,13,bubble,8,AiyvaN,3,SHiPZ,10,YEKINDAR,17,SHiPZ,107.2,YEKINDAR,77.4,Flarich,5,blocker,0,YEKINDAR,2,poizon,7,AiyvaN,15,poizon,77.4,Flarich,37.7,v1c7oR?blocker?SHiPZ?bubble?poizon?AiyvaN?YEKINDAR?kenzor?def?Flarich,blocker,18,Windigo,SHiPZ,107.2,Windigo,SHiPZ,5,Windigo,AiyvaN,6,pro100,v1c7oR,4,Windigo,v1c7oR,1.69,Windigo
